,id,graph_class,n,k,status,best_solution,best_bound,linear_relaxation,extra_params,result_ticks,result_time
0,inputs/cubic/cubic_4.txt_0,cubic,4,0,101,0.0,0.0,,,0.0,0.009647607803344727
1,inputs/cubic/cubic_4.txt_1,cubic,4,1,101,0.0,0.0,,,0.0,0.011014699935913086
2,inputs/cubic/cubic_4.txt_2,cubic,4,2,101,0.0,0.0,,,0.0,0.019706249237060547
3,inputs/cubic/cubic_4.txt_3,cubic,4,3,101,0.0,0.0,,,0.0,0.010060310363769531
4,inputs/cubic/cubic_8.txt_0,cubic,8,0,101,0.0,0.0,,,0.0,0.03576469421386719
5,inputs/cubic/cubic_8.txt_1,cubic,8,1,101,0.0,0.0,,,0.0,0.033895015716552734
6,inputs/cubic/cubic_8.txt_2,cubic,8,2,101,0.0,0.0,,,0.0,0.029075145721435547
7,inputs/cubic/cubic_8.txt_3,cubic,8,3,101,0.0,0.0,,,0.0,0.02341175079345703
8,inputs/cubic/cubic_8.txt_4,cubic,8,4,101,1.0,1.0,,,1.0,0.04598355293273926
9,inputs/cubic/cubic_8.txt_5,cubic,8,5,101,1.0,1.0,,,1.0,0.07677650451660156
10,inputs/cubic/cubic_8.txt_6,cubic,8,6,101,2.0,2.0,,,2.0,0.04955244064331055
11,inputs/cubic/cubic_8.txt_7,cubic,8,7,101,4.0,4.0,,,4.0,0.035959482192993164
12,inputs/cubic/cubic_16.txt_0,cubic,16,0,101,0.0,0.0,,,0.0,0.015957117080688477
13,inputs/cubic/cubic_16.txt_1,cubic,16,1,101,0.0,0.0,,,0.0,0.01733875274658203
14,inputs/cubic/cubic_16.txt_2,cubic,16,2,101,0.0,0.0,,,0.0,0.022418498992919922
15,inputs/cubic/cubic_16.txt_3,cubic,16,3,101,0.0,0.0,,,0.0,0.02276611328125
16,inputs/cubic/cubic_16.txt_4,cubic,16,4,101,1.0,1.0,,,1.0,0.0448603630065918
17,inputs/cubic/cubic_16.txt_5,cubic,16,5,101,1.0,1.0,,,1.0,0.07448267936706543
18,inputs/cubic/cubic_16.txt_6,cubic,16,6,101,2.0,2.0,,,2.0,0.05261659622192383
19,inputs/cubic/cubic_16.txt_7,cubic,16,7,101,3.0,3.0,,,3.0,0.08710265159606934
20,inputs/cubic/cubic_16.txt_8,cubic,16,8,101,4.0,4.0,,,4.0,0.06570172309875488
21,inputs/cubic/cubic_16.txt_9,cubic,16,9,101,5.0,5.0,,,5.0,0.05495047569274902
